Price,Close,High,Low,Open,Volume
Ticker,XLF,XLF,XLF,XLF,XLF
Date,,,,,
2018-01-02,23.88414192199707,24.029568352436172,23.772934243021226,24.029568352436172,55436100
2018-01-03,24.012454986572266,24.029564359460846,23.849919207409986,23.92690975376898,56906200
2018-01-04,24.23487091064453,24.414516055071008,24.106553882705352,24.1493256814719,62247000
2018-01-05,24.303312301635742,24.363193486199954,24.14933118039067,24.363193486199954,37989500
2018-01-08,24.269086837768555,24.320413316658243,24.18354161852617,24.27763989121738,44252100
2018-01-09,24.45729637145996,24.585613444087496,24.328979298832426,24.371751112494906,51418700
2018-01-10,24.662595748901367,24.765250351585173,24.491505288308208,24.534278719276276,64670900
2018-01-11,24.782363891601562,24.808027956187995,24.64549214375379,24.765256146850543,42361700
2018-01-12,25.004777908325195,25.02188728267612,24.773806249506954,24.92778735538578,44537500
2018-01-16,24.936342239379883,25.261413828054202,24.799470506771673,25.218640391839287,67563800
2018-01-17,25.124540328979492,25.19297619047198,24.799468763160437,25.004776347637904,54312000
2018-01-18,25.090322494506836,25.218639535514928,25.056105378336536,25.210084848562428,49247400
2018-01-19,25.269968032836914,25.278521088276843,25.124541615762237,25.175868106600436,60727800
2018-01-22,25.475278854370117,25.483833542533255,25.24430716888518,25.2785242898978,46868900
2018-01-23,25.500938415527344,25.543711851526265,25.295630817651762,25.41539317516925,60862000
2018-01-24,25.67203140258789,25.731912587192795,25.466723784668257,25.62070490601796,66371000
2018-01-25,25.620704650878906,25.774684139055324,25.535159403020966,25.774684139055324,45423700
2018-01-26,25.808902740478516,25.817457428378457,25.57793106209981,25.697695061059076,33871900
2018-01-29,25.706249237060547,25.94577561377275,25.689141492155354,25.826013241236623,41037700
2018-01-30,25.372617721557617,25.680579889897768,25.372617721557617,25.518044119758297,67316900
2018-01-31,25.441059112548828,25.56937616672697,25.355513865883445,25.441059112548828,49504500
2018-02-01,25.68058204650879,25.706244474932546,25.381174538994305,25.38972922568211,60824200
2018-02-02,25.11598777770996,25.697693465672803,25.098878402972282,25.629255966722084,73086000
2018-02-05,23.84992218017578,24.98766951284668,23.610397456438626,24.57705430217744,147871500
2018-02-06,24.286197662353516,24.34607883394048,23.242550423570336,23.3024315951573,159006400
2018-02-07,24.303312301635742,24.645491664602613,24.14077649236151,24.243431117071527,102699400
2018-02-08,23.233993530273438,24.38884994798888,23.216884159548314,24.346076521176073,135270500
2018-02-09,23.678829193115234,23.858472704571728,22.891816027506856,23.584729278558296,149504900
2018-02-12,24.012454986572266,24.251981312093545,23.704492801136283,23.918355067324693,83571800
2018-02-13,24.115108489990234,24.16643497467029,23.80714631863085,23.87558217541743,43365500
2018-02-14,24.688262939453125,24.696817626731992,24.01245732918047,24.09800257032938,57379700
2018-02-15,24.825130462646484,24.92778342930488,24.55138704270477,24.89356631763191,66976000
2018-02-16,24.79091453552246,25.0047768106011,24.671152183603116,24.70536929916307,47508200
2018-02-20,24.713932037353516,24.987675577572947,24.636941462711775,24.739596106114163,58236100
2018-02-21,24.74814224243164,25.150202724216747,24.69681575428963,24.722478182540815,44578800
2018-02-22,24.54283905029297,24.944899604028905,24.48295786480463,24.808027856729865,47602700
2018-02-23,24.91067886352539,24.91067886352539,24.611271347947405,24.619826034865596,41187300
2018-02-26,25.287071228027344,25.287071228027344,24.927782593490715,25.090318355496184,55124200
2018-02-27,25.047548294067383,25.466718124782652,25.03043892179993,25.30418235152096,72752100
2018-02-28,24.696813583374023,25.269964484103866,24.696813583374023,25.175864571082112,65254700
2018-03-01,24.269086837768555,24.902118849539224,24.132213507997136,24.705364355789943,82467900
2018-03-02,24.328969955444336,24.397405810006,23.858472027648347,24.09799833443391,78991200
2018-03-05,24.671154022216797,24.808025757936296,24.13222013513645,24.140774822573892,58952100
2018-03-06,24.773805618286133,24.825133740031095,24.517171536120124,24.808024366116108,49746100
2018-03-07,24.731035232543945,24.782361725590874,24.44018238587836,24.465846448221722,41530200
2018-03-08,24.808025360107422,24.84224410930845,24.54283658035851,24.790915985506906,50803000
2018-03-09,25.406841278076172,25.423949021616046,24.970562000832782,25.07321498863133,54595700
2018-03-12,25.32129669189453,25.500940241030673,25.27852325283364,25.406841938376445,51784500
2018-03-13,25.03899574279785,25.466720296115316,24.979114566395754,25.44105623552598,47049400
2018-03-14,24.756694793701172,25.150200554914605,24.679704252309065,25.150200554914605,57278900
2018-03-15,24.765256881713867,24.902128633623057,24.68826631730995,24.85080050292712,47451600
2018-03-16,24.786720275878906,25.027116923550203,24.786720275878906,24.821061952297946,61278200
2018-03-19,24.60641860961914,24.83823104241375,24.374606176824532,24.75237440386991,52145000
2018-03-20,24.66651725769043,24.769545549338552,24.60641810322033,24.70086056743285,37146500
2018-03-21,24.65793228149414,24.984187184993527,24.57207727933249,24.709447247886168,53291400
2018-03-22,23.747852325439453,24.426117877948506,23.66199569837035,24.331675424414602,85160300
2018-03-23,23.026655197143555,23.807947253603036,22.98372771000657,23.773605591409183,89289500
2018-03-26,23.77361488342285,23.84229987223503,23.2670624768408,23.490289099875206,84145000
2018-03-27,23.309986114501953,23.95390839190576,23.121102835991955,23.85088174456541,78827400
2018-03-28,23.3529109954834,23.584721728567754,23.052413659910368,23.370081008526835,84244500
2018-03-29,23.670583724975586,23.8337111678114,23.352916304145904,23.455942956141815,58290000
2018-04-02,23.14685821533203,23.69633966126249,22.794847508409507,23.670582181153886,74363900
2018-04-03,23.464523315429688,23.51603662942341,23.086755191792,23.292810085345632,75160400
2018-04-04,23.71351432800293,23.782199312774832,23.0266628427047,23.043834498292476,70327000
2018-04-05,23.90239906311035,24.07411235414857,23.825128245901087,23.928156548039876,45378300
2018-04-06,23.32716178894043,23.782200866265146,23.112520992810165,23.627659231038663,88521000
2018-04-09,23.455942153930664,23.92815281176246,23.413014656663705,23.455942153930664,54633200
2018-04-10,23.80795669555664,23.94532667396869,23.653415060448257,23.83371418060114,67801500
2018-04-11,23.524625778198242,23.70492485901667,23.46452663045175,23.593310752419796,52480800
2018-04-12,23.936742782592773,24.091284430206738,23.687760290665395,23.70493194875127,63289100
2018-04-13,23.576143264770508,24.24582310993016,23.4473591200496,24.228651453946238,70103900
2018-04-16,23.679168701171875,23.85088196509889,23.61048372311688,23.713512008988896,44633600
2018-04-17,23.679168701171875,23.91098111619963,23.593312069208366,23.885223635336864,50750100
2018-04-18,23.56756019592285,23.833714326022726,23.516045225519527,23.73927185119596,66795500
2018-04-19,23.928159713745117,23.979673052840095,23.59331891567895,23.610490574570452,76142000
2018-04-20,23.936742782592773,24.074114409700314,23.833716109236427,23.97108609876452,49800400
2018-04-23,23.91098403930664,24.03118235620231,23.833713224851067,24.005424872190705,45689200
2018-04-24,23.756437301635742,24.18571878403785,23.593309879800852,24.039763014517977,69592900
2018-04-25,23.739273071289062,23.859473037495235,23.49887641403553,23.730687242447235,51819000
2018-04-26,23.747852325439453,23.876636447253627,23.627654030090085,23.722094846045035,33456200
2018-04-27,23.78219985961914,23.842299017979066,23.670585733311356,23.704929045276597,47185200
2018-04-30,23.56756019592285,23.971084305272942,23.558974367522296,23.84230015442328,41731400
2018-05-01,23.576143264770508,23.593314920754427,23.327160803320655,23.516044106406035,46372400
2018-05-02,23.309986114501953,23.5847260241816,23.275644444581516,23.490285203716116,45430300
2018-05-03,23.11252212524414,23.232720452941013,22.717582189472513,23.198378775418792,68947900
2018-05-04,23.41301918029785,23.54180333456019,22.897880925669135,22.97515174574241,40575600
2018-05-07,23.56756019592285,23.662001033170295,23.404432731470976,23.498875206297743,36873600
2018-05-08,23.730680465698242,23.893807891949994,23.576138865836473,23.58472469222645,47718500
2018-05-09,24.08269500732422,24.14279580165599,23.75644174027635,23.84229838031396,43817000
2018-05-10,24.280166625976562,24.331679956782054,24.00542504066234,24.03976835291884,41445500
2018-05-11,24.262989044189453,24.42611646240931,24.211475725964867,24.297330710479557,25894000
2018-05-14,24.245819091796875,24.37460321517506,24.202891596530474,24.331675719908656,31292900
2018-05-15,24.202899932861328,24.33168410059731,24.10845744565115,24.211485762387664,54655800
2018-05-16,24.245819091796875,24.314504066770507,24.125620794987768,24.177134116823247,31984900
2018-05-17,24.19430923461914,24.28016587502571,24.03976760940316,24.220065080435663,45070400
2018-05-18,23.99683952331543,24.202894472723212,23.98825369572604,24.194308645133827,33266100
2018-05-21,24.168548583984375,24.262991039813027,24.125621088196255,24.13420691486968,29647900
2018-05-22,24.331676483154297,24.46904643741063,24.185720702059562,24.185720702059562,52841400
2018-05-23,24.177135467529297,24.245820446340154,23.91956720638334,24.168549640480556,44968500
2018-05-24,23.988256454467773,24.117040607960917,23.747858167055714,24.099868950807334,43245200
2018-05-25,23.91098403930664,23.953911541746738,23.79936991283559,23.876640727291164,39312500
2018-05-29,23.11252212524414,23.610488731161833,22.94080882489484,23.576145416060214,126469700
2018-05-30,23.533212661743164,23.627655119632095,23.275644406237568,23.335743556683607,65843700
2018-05-31,23.335742950439453,23.51604039709358,23.267057974917073,23.481698728121884,66686900
2018-06-01,23.59330940246582,23.72209351706514,23.52462443217426,23.61906688041723,62934300
2018-06-04,23.670583724975586,23.756440360024914,23.627656226240475,23.70492703402696,44196900
2018-06-05,23.56756019592285,23.627659357147405,23.447360235894422,23.59331604354519,44996800
2018-06-06,23.99683952331543,24.014009540915033,23.67917045282478,23.70492793559294,61960000
2018-06-07,24.07411003112793,24.194308340708616,23.910982584140466,24.099865875992847,65166100
2018-06-08,24.108448028564453,24.134205507082246,23.91956476550401,24.04834888293517,47713400
2018-06-11,24.05694007873535,24.27158086822247,24.05694007873535,24.18572422491177,47319600
2018-06-12,23.99683952331543,24.185722817544438,23.876639574643175,24.125623661997896,55517200
2018-06-13,23.91098403930664,24.19430981311733,23.885226555295034,24.005424872190705,61095800
2018-06-14,23.687755584716797,23.99683881854044,23.61907060359811,23.95390968185431,70635500
2018-06-15,23.686893463134766,23.764498999330716,23.376472963023883,23.540305410839405,63387600
2018-06-18,23.643781661987305,23.678272100114295,23.40234201640625,23.479947558033267,49824600
2018-06-19,23.583423614501953,23.64378311844711,23.393720436762163,23.402343457993346,50214700
2018-06-20,23.523059844970703,23.798989895639924,23.49719078596815,23.798989895639924,42833600
2018-06-21,23.45407485961914,23.592039870408563,23.290240792554453,23.44545184086072,75190900
2018-06-22,23.341978073120117,23.64377716148184,23.324732035002825,23.6179081043059,61389400
2018-06-25,23.091920852661133,23.28162236876883,22.936709773721663,23.2385089111403,80746100
2018-06-26,23.014312744140625,23.13503172776322,22.867724702024844,23.109162669270034,56387800
2018-06-27,22.72976303100586,23.178148598294463,22.72114001023663,23.005693116929013,78099200
2018-06-28,22.92808723449707,23.02293881687824,22.686647590560007,22.729762693766457,78544800
2018-06-29,22.92808723449707,23.341982357240877,22.893595151931912,23.212640336967564,77149900
