Price,Close,High,Low,Open,Volume
Ticker,XLU,XLU,XLU,XLU,XLU
Date,,,,,
2018-01-02,20.132579803466797,20.34474651400581,20.07085897991195,20.317742274131337,24540000
2018-01-03,19.974424362182617,20.205878603543677,19.904988236928382,20.05929106450242,41615800
2018-01-04,19.80854606628418,20.043857177280607,19.76997110153157,19.912700236964923,29943600
2018-01-05,19.80082893371582,19.908839994162584,19.700531687694966,19.877978850297605,46832600
2018-01-08,19.98599624633789,20.001425350485075,19.796975373013126,19.83555034069213,28601000
2018-01-09,19.789257049560547,19.989850088110543,19.75839737445926,19.982134801450105,30877400
2018-01-10,19.573240280151367,19.704397246287517,19.530806927645425,19.673536091177425,31124000
2018-01-11,19.49994468688965,19.642673842475304,19.434366943243003,19.553950233784718,33091000
2018-01-12,19.388072967529297,19.546232681492043,19.330210518932553,19.442079979709785,37270600
2018-01-16,19.345643997192383,19.51923284057505,19.23377451962603,19.465227291830146,54585600
2018-01-17,19.465225219726562,19.519230762722493,19.34949884594376,19.376501617441726,46903200
2018-01-18,19.34178352355957,19.469083564571456,19.241487725538036,19.465225184912544,42659400
2018-01-19,19.283918380737305,19.46136556022011,19.260772520636753,19.418932219139336,37263800
2018-01-22,19.310922622680664,19.499942010873905,19.280061473523883,19.37650035732795,41073000
2018-01-23,19.4960880279541,19.634960276913144,19.32635462520825,19.38421855278812,53347800
2018-01-24,19.37650489807129,19.480659093572328,19.34564521322335,19.465228515377895,39062800
2018-01-25,19.677391052246094,19.692821628273915,19.372645269170622,19.384217465421127,52570000
2018-01-26,19.688968658447266,19.789264479608956,19.49223245359097,19.73140201524141,47900000
2018-01-29,19.43822479248047,19.63110259589312,19.4150803978571,19.596384532417208,36121800
2018-01-30,19.472938537597656,19.553946843896597,19.41507609233007,19.422789907799988,26178200
2018-01-31,19.688968658447266,19.70825614656978,19.388078251880167,19.49609083414008,54822800
2018-02-01,19.38036346435547,19.742973226158547,19.322499531341567,19.665821805986994,57039200
2018-02-02,19.241485595703125,19.426648067236997,19.218339734933696,19.28391893801015,43612800
2018-02-05,18.9251708984375,19.415080703400456,18.890452834415218,19.21062922791772,66944600
2018-02-06,18.643569946289062,18.80172969269081,18.273243430228092,18.701432406753554,83343200
